,DAY_OF_MONTH,DAY_OF_WEEK,OP_UNIQUE_CARRIER,OP_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN,DEST,DEP_TIME_BLK,CANCELLED,DIVERTED,DISTANCE,ORIGIN_CITY,ORIGIN_STATE_OR_REGION,ORIGIN_FULL_NAME,GMT_DEP,DEST_CITY,DEST_STATE_OR_REGION,DEST_FULL_NAME,GMT_ARR
449480,22,2,F9,F9,NONE,1419,ORD,LAS,2200-2259,1.0,0.0,1514.0,Chicago,IL,Illinois,6,Las Vegas,NV,Nevada,8
449481,22,2,F9,F9,NONE,1426,PHX,ORD,1700-1759,1.0,0.0,1440.0,Phoenix,AZ,Arizona,7,Chicago,IL,Illinois,6
449482,22,2,F9,F9,NONE,1426,PHX,ORD,1700-1759,1.0,0.0,1440.0,Phoenix,AZ,Arizona,7,Chicago,IL,Illinois,6
449483,22,2,F9,F9,NONE,1447,TPA,ORD,1800-1859,1.0,0.0,1011.0,Tampa,FL,Florida,5,Chicago,IL,Illinois,6
449484,22,2,F9,F9,NONE,1447,TPA,ORD,1800-1859,1.0,0.0,1011.0,Tampa,FL,Florida,5,Chicago,IL,Illinois,6
449485,22,2,F9,F9,NONE,2543,SYR,TPA,1900-1959,1.0,0.0,1104.0,Syracuse,NY,New York,5,Tampa,FL,Florida,5
449570,22,2,F9,F9,N308FR,2542,TPA,SYR,1500-1559,1.0,0.0,1104.0,Tampa,FL,Florida,5,Syracuse,NY,New York,5
449848,22,2,AS,AS,N277AK,12,SEA,BOS,0600-0659,1.0,0.0,2496.0,Seattle,WA,Washington,8,Boston,MA,Massachusetts,5
449857,22,2,AS,AS,N274AK,21,ORD,SEA,1900-1959,1.0,0.0,1721.0,Chicago,IL,Illinois,6,Seattle,WA,Washington,8
449858,22,2,AS,AS,N274AK,21,ORD,SEA,1900-1959,1.0,0.0,1721.0,Chicago,IL,Illinois,6,Seattle,WA,Washington,8
449859,22,2,AS,AS,N274AK,22,SEA,ORD,1200-1259,1.0,0.0,1721.0,Seattle,WA,Washington,8,Chicago,IL,Illinois,6
449860,22,2,AS,AS,N274AK,22,SEA,ORD,1200-1259,1.0,0.0,1721.0,Seattle,WA,Washington,8,Chicago,IL,Illinois,6
449870,22,2,AS,AS,N277AK,33,BOS,PDX,1600-1659,1.0,0.0,2537.0,Boston,MA,Massachusetts,5,Portland,OR,Oregon,8
449879,22,2,AS,AS,N615AS,43,ANC,BET,1000-1059,1.0,0.0,399.0,Anchorage,AK,Alaska,9,Bethel,AK,Alaska,9
449880,22,2,AS,AS,N615AS,44,BET,ANC,1200-1259,1.0,0.0,399.0,Bethel,AK,Alaska,9,Anchorage,AK,Alaska,9
449889,22,2,AS,AS,N274AK,51,ORD,SEA,1700-1759,1.0,0.0,1721.0,Chicago,IL,Illinois,6,Seattle,WA,Washington,8
